func_id,n,x_curr,y_curr,x_next,y_next,x_pred,y_pred,x_std,y_std,mode,error,acc,rel_error
zigzag.29,0,245.1526990776921,89.65352992868843,188.87637768737636,278.4968013632067,556.1822509765625,237.24888610839844,384.7199096679687,231.97084045410156,train,486.2805025195367,0.01354314458919128,2.467799327340225
zigzag.29,1,188.87637768737636,278.4968013632067,132.6000562970606,467.3400727977248,381.7927856445313,382.6098937988281,199.92201232910156,179.32943725585938,train,337.59756513226,0.020532160067043788,1.7132561141737699
zigzag.29,2,132.6000562970606,467.3400727977248,530.4190369558265,174.79639906289125,349.1468505859375,133.38522338867188,136.96690368652344,132.498291015625,train,223.92092832038574,0.047464160944464526,0.45346174970516717
zigzag.29,3,530.4190369558265,174.79639906289125,474.14271556551074,363.6396704974095,467.2927551269531,351.8750305175781,48.554893493652344,25.2585506439209,train,48.929090798092794,0.7017,0.24830766755665074
zigzag.29,4,474.14271556551074,363.6396704974095,417.86639417519496,552.4829419319277,400.95166015625,543.2960815429688,14.0404052734375,9.651691436767578,train,23.389014287669166,0.9986,0.11869567755071973
zigzag.29,5,417.86639417519496,552.4829419319277,815.6853748339611,259.93926819709407,845.7456665039062,253.58209228515625,41.23534393310547,22.87449073791504,train,48.59745468427269,0.7018,0.09841459214038815
zigzag.29,6,815.6853748339611,259.93926819709407,759.4090534436453,448.7825396316122,767.700927734375,452.7238464355469,13.562000274658203,7.01460599899292,train,15.338195588121193,0.9999,0.07783900147931098
zigzag.29,7,759.4090534436453,448.7825396316122,703.1327320533297,637.6258110661306,699.4646606445312,641.2125244140625,11.799551010131836,7.56920862197876,train,13.232043734526977,1.0,0.06715060229273781
zigzag.29,8,703.1327320533297,637.6258110661306,1100.9517127120955,345.08213733129685,1141.9739990234375,338.237060546875,28.607650756835938,18.989015579223633,train,47.92084454325024,0.7066,0.09704439052181815
zigzag.29,9,1100.9517127120955,345.08213733129685,1044.67539132178,533.9254087658151,1063.89453125,541.9432373046875,15.02785301208496,7.705094337463379,train,23.925643359742935,0.997,0.12141898818364331
zigzag.29,10,1044.67539132178,533.9254087658151,988.3990699314644,722.7686802003334,966.844482421875,726.2086181640625,12.1253662109375,7.0956621170043945,train,23.710223934824263,0.9988,0.12032576748251314
zigzag.29,11,988.3990699314644,722.7686802003334,1386.2180505902302,430.2250064654997,1344.2562255859375,429.1105346679687,26.35527801513672,18.66866874694824,train,48.01015739275943,0.7091,0.09722525776506058
zigzag.29,12,1386.2180505902302,430.2250064654997,1329.9417291999148,619.0682779000178,1303.2672119140625,611.05322265625,22.658449172973633,10.837539672851562,train,32.814930519800185,0.9227,0.16653076371332765
line.2,0,116.63067652170268,248.97496766729824,213.05843938595387,276.36052890502344,424.6617736816406,305.88836669921875,386.15093994140625,175.11672973632812,train,387.2953323192132,0.02755523185239136,3.8636372677345303
line.2,1,213.05843938595387,276.36052890502344,309.4862022502051,303.7460901427486,301.5340270996094,297.6133728027344,42.581390380859375,29.797327041625977,train,46.40423033472309,0.7289,0.46292608957652287
line.2,2,309.4862022502051,303.7460901427486,405.9139651144564,331.1316513804737,402.1346740722656,332.4689025878906,22.861154556274418,11.821224212646484,train,22.625212748687364,0.9878,0.2257078974920408
line.2,3,405.9139651144564,331.1316513804737,502.3417279787076,358.51721261819887,501.4091796875,358.7029724121094,11.22543716430664,7.835136890411377,train,12.071602331418093,1.0,0.12042565132310076
line.2,4,502.3417279787076,358.51721261819887,598.7694908429587,385.902773855924,597.7844848632812,384.2762451171875,7.594475746154785,6.211032867431641,train,8.83173297677287,1.0,0.08810489004193696
line.2,5,598.7694908429587,385.902773855924,695.1972537072099,413.2883350936492,696.34765625,413.2709045410156,2.467596530914306,2.0269293785095215,train,2.978451992164794,1.0,0.02971287582573112
line.2,6,695.1972537072099,413.2883350936492,791.6250165714612,440.6738963313743,792.786865234375,440.3970642089844,2.1737003326416016,1.731356501579285,train,2.69214581720755,1.0,0.026856700924465855
line.2,7,791.6250165714612,440.6738963313743,888.0527794357124,468.0594575690994,888.5279541015625,467.1486511230469,2.026900291442871,1.728524684906006,train,2.514219396128726,1.0,0.02508171658040417
line.2,8,888.0527794357124,468.0594575690994,984.4805422999634,495.4450188068245,985.114501953125,494.6533203125,1.9946553707122805,1.7620384693145752,train,2.5272122923610625,1.0,0.025211333009805666
line.2,9,984.4805422999634,495.4450188068245,1080.9083051642149,522.8305800445498,1081.047607421875,521.783447265625,2.088125228881836,1.8875327110290527,train,2.6682298068243675,1.0,0.02661811609965351
