"seq_id","tpt","prev_x","prev_y","true_x","true_y","pred_x","pred_y","sd_x","sd_y","mode","error","acc","rel_error","score","weight","particle"
"zigzag_1",1,1135.19999999999,486.531070791962,1090.99180060509,400.982862528749,1013.14001464844,482.900207519531,199.578399658203,99.4171752929688,"test",218.340065161856,0.0617593894356296,2.26739176334586,1,1,0
"zigzag_1",2,1090.99180060509,400.982862528749,1046.78360121018,315.434654265535,1027.10522460938,357.841217041016,60.1371383666992,78.0163192749023,"test",96.7802106986913,0.2643,1.00503154302175,1,1,0
"zigzag_1",3,1046.78360121018,315.434654265535,1017.55180060509,407.186290022999,972.480834960938,327.938995361328,69.4989624023438,118.081344604492,"test",143.130195091209,0.137567730282962,1.48636131071645,1,1,0
"zigzag_1",4,1017.55180060509,407.186290022999,988.319999999997,498.937925780463,970.264709472656,501.841064453125,10.4078140258789,68.4423828125,"test",60.035102499468,0.5883,0.623445343473766,1,1,0
"zigzag_1",5,988.319999999997,498.937925780463,944.111800605089,413.389717517249,940.336853027344,455.150390625,7.97262191772461,40.1969947814941,"test",49.4800801652614,0.655,0.513834811459083,1,1,0
"zigzag_1",6,944.111800605089,413.389717517249,899.903601210181,327.841509254036,895.953735351562,318.255187988281,7.70065402984619,45.4687728881836,"test",38.4846330392081,0.8059,0.399650608805133,1,1,0
"zigzag_1",7,899.903601210181,327.841509254036,870.67180060509,419.5931450115,846.066833496094,330.120758056641,8.82567405700684,57.9106597900391,"test",97.6881567630461,0.2667,1.01446027258796,1,1,0
"zigzag_1",8,870.67180060509,419.5931450115,841.439999999999,511.344780768963,823.670166015625,506.260040283203,8.8153772354126,57.2280540466309,"test",51.6773433976014,0.6771,0.536652687560829,1,1,0
"zigzag_1",9,841.439999999999,511.344780768963,797.231800605091,425.79657250575,798.327514648438,465.3232421875,7.298171043396,39.7020225524902,"test",47.0605883788431,0.6903,0.488709162879923,1,1,0
"zigzag_1",10,797.231800605091,425.79657250575,753.023601210183,340.248364242536,758.59765625,330.826232910156,7.51706743240356,47.5320816040039,"test",40.1112080093156,0.7868,0.416542069778876,1,1,0
"zigzag_1",11,753.023601210183,340.248364242536,723.791800605092,432,710.822265625,342.243408203125,9.02820014953613,62.7091789245605,"test",95.4636242339349,0.3009,0.991359213558492,1,1,0
"zigzag_1",12,723.791800605092,432,694.560000000001,523.751635757464,681.6337890625,517.798522949219,9.20441055297852,59.0813598632812,"test",51.3888486712452,0.6695,0.533656762072652,1,1,0
"zigzag_1",13,694.560000000001,523.751635757464,650.351800605093,438.20342749425,655.374206542969,475.452453613281,7.4866189956665,41.9338531494141,"test",47.949376350848,0.6857,0.497938941782804,1,1,0
"zigzag_1",14,650.351800605093,438.20342749425,606.143601210185,352.655219231037,618.99365234375,345.954681396484,7.80311489105225,49.727970123291,"test",44.1747956124124,0.755,0.458741127721202,1,1,0
"stairs",1,1135.20000000001,98.4054229593377,1120.77007701043,156.300400247801,989.06005859375,315.705993652344,313.129364013672,223.912750244141,"test",372.802689983539,0.0215448086179234,6.2481424614171,1,1,0
"stairs",2,1120.77007701043,156.300400247801,1061.76,165.12433836747,1082.240234375,223.152404785156,73.5836563110352,48.3277053833008,"test",96.6576240022359,0.2317,1.61997383864029,1,1,0
"stairs",3,1061.76,165.12433836747,1047.33007701043,223.019315655933,992.504272460938,165.286071777344,28.1011810302734,40.7804946899414,"test",87.7152247341325,0.1998,1.4700999614522,1,1,0
"stairs",4,1047.33007701043,223.019315655933,988.320000000004,231.843253775603,978.295288085938,259.507904052734,29.2038803100586,26.429666519165,"test",44.3011901717449,0.7681,0.742484308296206,1,1,0
"stairs",5,988.320000000004,231.843253775603,973.890077010432,289.738231064066,936.657958984375,281.267028808594,21.8758125305176,22.9743213653564,"test",45.6324303168655,0.7686,0.764795783777887,1,1,0
"stairs",6,973.890077010432,289.738231064066,914.880000000002,298.562169183735,913.692504882812,314.105316162109,20.9076919555664,25.7493000030518,"test",32.366696937669,0.928,0.542463182014589,1,1,0
"stairs",7,914.880000000002,298.562169183735,900.450077010431,356.457146472198,871.646667480469,353.185607910156,19.4200096130371,19.1294403076172,"test",36.1442292064082,0.9103,0.605774312545125,1,1,0
"stairs",8,900.450077010431,356.457146472198,841.440000000001,365.281084591868,841.062561035156,375.352996826172,18.681282043457,22.0850486755371,"test",27.0496279014232,0.9767,0.45334954172106,1,1,0
"stairs",9,841.440000000001,365.281084591868,827.01007701043,423.176061880331,806.673706054688,422.111145019531,18.0309295654297,16.0374660491943,"test",28.4278869585529,0.9762,0.476449050305789,1,1,0
"stairs",10,827.01007701043,423.176061880331,768,432,764.244567871094,439.742828369141,17.8115653991699,19.3156814575195,"test",24.3992801514762,0.9919,0.408929931136445,1,1,0
"stairs",11,768,432,753.570077010429,489.894977288463,739.788696289062,490.043762207031,17.4605255126953,14.6828594207764,"test",23.6189738070128,0.9934,0.395852060899055,1,1,0
"stairs",12,753.570077010429,489.894977288463,694.559999999999,498.718915408132,685.755065917969,505.203338623047,17.5829772949219,17.7651557922363,"test",24.2285385083344,0.9926,0.406068315222426,1,1,0
"stairs",13,694.559999999999,498.718915408132,680.130077010428,556.613892696596,669.882690429688,557.649780273438,17.7339477539062,15.5010290145874,"test",22.6183724224233,0.9949,0.379082063884595,1,1,0
"stairs",14,680.130077010428,556.613892696596,621.119999999998,565.437830816265,607.080932617188,572.188537597656,18.2540397644043,16.9789085388184,"test",26.2902063897331,0.9896,0.44062169956543,1,1,0
"sine",1,400.8,432.516807425139,437.52,525.213251111577,514.33740234375,413.767242431641,183.87109375,96.0708694458008,"test",219.553615255208,0.0453451043338684,2.20204299615018,1,1,0
